Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	Class Active	BT549 ABCB1 24 minus doxy.RCC	BT549 ABCB1 24 plus doxy.RCC	BT549 ABCB1 4 minus doxy.RCC	BT549 ABCB1 4 plus doxy.RCC	BT549 ABCB1 72 minus doxy.RCC	BT549 ABCB1 72 plus doxy.RCC	BT549 GFP 24 minus doxy.RCC	BT549 GFP 24 plus doxy.RCC	BT549 GFP 4 minus doxy.RCC	BT549 GFP 4 plus doxy.RCC	BT549 GFP 72 minus doxy.RCC	BT549 GFP 72 plus doxy.RCC	CAMA-1 ABCB1 24 minus doxy.RCC	CAMA-1 ABCB1 24 plus doxy.RCC	CAMA-1 ABCB1 4 minus doxy.RCC	CAMA-1 ABCB1 4 plus doxy.RCC	CAMA-1 ABCB1 72 minus doxy.RCC	CAMA-1 ABCB1 72 plus doxy.RCC	CAMA-1 GFP 24 minus doxy.RCC	CAMA-1 GFP 24 plus doxy.RCC	CAMA-1 GFP 4 minus doxy.RCC	CAMA-1 GFP 4 plus doxy.RCC	CAMA-1 GFP 72 minus doxy.RCC	CAMA-1 GFP 72 plus doxy.RCC	HCC1428 ABCB1 24 minus doxy.RCC	HCC1428 ABCB1 24 plus doxy.RCC	HCC1428 ABCB1 4 minus doxy.RCC	HCC1428 ABCB1 4 plus doxy.RCC	HCC1428 ABCB1 72 minus doxy.RCC	HCC1428 ABCB1 72 plus doxy.RCC	HCC1428 GFP 24 minus doxy.RCC	HCC1428 GFP 24 plus doxy.RCC	HCC1428 GFP 4 minus doxy.RCC	HCC1428 GFP 4 plus doxy.RCC	HCC1428 GFP 72 minus doxy.RCC	HCC1428 GFP 72 plus doxy.RCC	Hs578T ABCB1 24 minus doxy.RCC	Hs578T ABCB1 24 plus doxy.RCC	Hs578T ABCB1 4 minus doxy.RCC	Hs578T ABCB1 4 plus doxy.RCC	Hs578T ABCB1 72 minus doxy.RCC	Hs578T Abcb1 72 plus doxy.RCC	Hs578T GFP 24 minus doxy.RCC	Hs578T GFP 24 plus doxy.RCC	Hs578T GFP 4 minus doxy.RCC	Hs578T GFP 4 plus doxy.RCC	Hs578T GFP 72 minus doxy.RCC	Hs578T GFP 72 plus doxy.RCC	MCF7 ABCB1 24 minus doxy.RCC	MCF7 ABCB1 24 plus doxy.RCC	MCF7 ABCB1 72 minus doxy.RCC	MCF7 ABCB1 72 plus doxy.RCC	MCF7 GFP 24 minus doxy.RCC	MCF7 GFP 24 plus doxy.RCC	MCF7 GFP 72 minus doxy.RCC	MCF7 GFP 72 plus doxy.RCC	T47D ABCB1 24 minus doxy.RCC	T47D ABCB1 24 plus doxy.RCC	T47D ABCB1 4 minus doxy.RCC	T47D ABCB1 4 plus doxy.RCC	T47D ABCB1 72 minus doxy.RCC	T47D ABCB1 72 plus doxy.RCC	T47D GFP 24 minus doxy.RCC	T47D GFP 24 plus doxy.RCC	T47D GFP 4 minus doxy.RCC	T47D GFP 4 plus doxy.RCC	T47D GFP 72 minus doxy.RCC	T47D GFP 72 plus doxy.RCC	ZR-75-1 ABCB1 24 minus doxy.RCC	ZR-75-1 ABCB1 24 plus doxy.RCC	ZR-75-1 ABCB1 4 minus doxy.RCC	ZR-75-1 ABCB1 4 plus doxy.RCC	ZR-75-1 ABCB1 72 minus doxy.RCC	ZR-75-1 ABCB1 72 plus doxy.RCC	ZR-75-1 GFP 24 minus doxy.RCC	ZR-75-1 GFP 24 plus doxy.RCC	ZR-75-1 GFP 4 minus doxy.RCC	ZR-75-1 GFP 4 plus doxy.RCC	ZR-75-1 GFP 72 minus doxy.RCC	ZR-75-1 GFP 72 plus doxy.RCC
IL8	NM_000584.2	NM_000584.2:25	Endogenous	mRNA	2	115.42	79.05	1059.04	705.23	87.96	57.65	136.91	88.83	1187.58	753.68	105.74	56.41	20	20	83.96	55.96	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	2956.16	778.43	5034.35	3239.46	2625.53	738	1033.79	687.59	2470.36	2265.06	929.02	746.2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	43.41	20	20	20	20	20	20	20	20	20	20	20	20
INHBA	NM_002192.2	NM_002192.2:490	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	196.82	117.33	308.16	238.23	257.87	153.66	86.45	91.84	117.02	111.07	82.72	108.76	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
IRF1	NM_002198.1	NM_002198.1:510	Endogenous	mRNA	2	77.48	53.31	66.85	67.05	73.41	56.86	86.99	80.24	108.14	63.41	83.23	81.79	20	20	106.18	94.02	27	20	20	20	54.5	45.87	20	20	20	20	20	22.98	20	20	20	20	20	20	20	20	78.23	54.25	76.77	76.48	87.62	74.22	67.73	148.73	61.11	77.35	71.27	74.91	20	20	25.19	33.39	27.05	64.71	53.41	77.51	20	20	20	20	20	20	20	349.38	20	20	20	111.95	77.93	55.22	81.67	59.19	52.13	82.43	21.25	20	38.76	32.94	20	33.61
ISG20	NM_002201.4	NM_002201.4:556	Endogenous	mRNA	2	20	20	20.05	20	20	20	20	20	20	28.99	20	20	33.86	26.95	29.63	35.82	29.46	20	34.28	41.07	37.99	20	38.59	28.12	20	23.37	24.24	22.98	20	20	24.92	20	20	24.9	20	20	20	34.06	20	20	20	25.09	23.17	38.2	29.9	28.76	33.09	20.89	20	22.43	20	20	23.66	36.28	40.44	61.83	20	26.14	20	21.86	22.76	20.76	20.83	454.93	20.22	21.12	20	258.93	175.59	142.15	167.09	167.36	145.96	153.62	147.93	108.18	141.37	140	125.72	112.88
ITGB3	NM_000212.2	NM_000212.2:4485	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	34.76	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	34.07	20	38.93	26.37	28.87	32.4	21.39	20	26	20.83	20	38.89	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
JUNB	NM_002229.2	NM_002229.2:1155	Endogenous	mRNA	2	79.85	39.22	73.53	52.15	78.95	59.23	83.96	67.82	76.28	47.11	77.77	49.36	104.96	91.62	95.07	113.04	84.69	113.34	89.98	54.21	80.93	61.83	100.33	77.34	23.88	28.45	25.3	23.98	20	25.7	20	20	20	20.92	29.05	30.61	109.77	70.65	77.85	87.03	118.48	71.08	72.19	89.4	76.71	142.81	57.27	75.63	67.69	64.08	45.34	65.74	60.85	85.3	61.8	119.96	42.07	35.19	40.25	23.85	39.31	27.68	29.16	122.44	45.71	24.64	30.49	89.86	71.02	85.91	76.97	89.8	71.08	76.81	76.01	57.04	70.68	66.91	59.01	73.24
KLF10	NM_005655.3	NM_005655.3:2092	Endogenous	mRNA	2	244.29	205.9	268.34	239.21	243.1	191.91	289.71	226.38	387.17	283.54	257.19	235.5	248.85	204.81	403.74	351.44	305.61	269.17	268.5	251.32	308.84	291.18	306.79	348.73	498.36	499.92	477.49	406.61	573.39	523.58	581.51	523.92	443.75	450.27	555.98	564.08	716.64	516.01	726.61	556.47	602.37	555.07	520.46	487.65	547.38	717	562.5	712.35	475.16	448.58	430.26	449.78	412.45	1138.34	459.31	1183.94	210.34	217.17	157.07	144.07	152.08	155.2	174.96	886.64	170.55	175.15	208.35	762.32	321.58	366.12	319.15	336.75	320.36	319.41	325.29	314.71	345.44	309.86	309.18	342.09
KLF2	NM_016270.2	NM_016270.2:1015	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
KLHL24	NM_017644.3	NM_017644.3:1911	Endogenous	mRNA	2	105.94	121.94	86.9	71.18	116.35	131.1	121.03	111.76	88.83	71.56	135.76	128.33	196.37	241.19	150.63	104.09	185.33	210.93	227.08	261.18	133.78	121.66	181.37	216.55	224.26	321.08	92.76	114.89	138.49	191.92	168.64	298.11	89.55	97.63	162.43	204.42	160.24	204.38	123.26	105.49	228	324.05	216.56	204	136.52	142.81	257.07	245.61	177.85	175.43	163.24	177.41	139.74	119.62	147.25	194.71	139.9	171.93	94.24	99.36	122.08	237.25	131.22	185.77	107.25	128.5	124.5	274.16	109.5	101.25	68.52	89.8	107.1	94.6	58.03	95.4	62.7	74.12	96.22	105.13
KLK6	NM_002774.3	NM_002774.3:1378	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	89.77	101.25	85.42	75.51	46.44	45.9	22.07	20	20	20	20	20
KRAS	NM_004985.3	NM_004985.3:327	Endogenous	mRNA	2	143.09	137.26	131.78	129.95	136.44	130.31	121.78	148.06	140	119.57	146.67	140.31	223.46	219.63	244.47	201.46	216.01	245.56	237.08	267.75	209.75	195.45	275.91	237.64	233.61	228.62	178.14	194.81	255.11	199.95	220.97	204.24	189.04	187.28	161.11	231.75	147.62	156.44	155.7	145.93	172.25	159.93	157.74	129.23	118.32	108.1	142.54	151.98	138.03	131.37	162.23	118.97	139.74	139.23	126.65	130.11	264.15	322.74	268.01	288.14	279.34	337.09	265.56	260.71	292.74	267.56	255.36	275.68	865.11	937.8	832.62	939.85	862.5	961.03	787.89	827.1	893.82	834.87	794.11	859.97
KRT4	NM_002272.3	NM_002272.3:1518	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	41.53	27.43	20	20	20	20.08	34.06	31.71	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	35.79	20	20	25.34	23.47	29.38	27.16	20	20	20	20	20	20
KRT81	NM_002281.3	NM_002281.3:1720	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	31.54	20	36.76	31.65	41.82	20	107.84	20	130.02	88.26	76.36	20	20	20	20	20	20	20	41.2	48.91	20	20	20	20	20	20	20	20	20	20	20	20	91.74	103.29	96.68	110.21	93.83	94.6	20	25.57	20	20	20	20
LANCL1	NM_006055.1	NM_006055.1:1085	Endogenous	mRNA	2	64.83	85.18	68.76	72.84	73.41	95.56	74.89	78.33	92.69	79.72	90.73	81.08	118.5	191.33	145.69	128.71	149.74	231.39	158.53	164.26	135.43	163.54	169.79	177.18	272.02	301.78	231.89	232.78	272.12	260.18	313.18	290.5	234.81	230.12	231.11	235.03	283.88	263.68	211.93	239.11	227.01	258.19	326.18	186.93	249.64	273.71	310.52	267.22	112.82	164.21	110.84	158.62	111.56	108.83	106.82	93.2	207.41	255.37	225.79	223.56	213.12	226.37	205.16	140.38	216.26	212.99	175.32	139.37	170.65	170.79	147.37	169.4	171.55	206.07	184.71	178.01	177.85	161.62	180.89	160.27
LBH	NM_030915.3	NM_030915.3:2340	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	29.01	31.86	23	20	20	27.3	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LCE1F	NM_178354.2	NM_178354.2:456	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LCE3D	NM_032563.1	NM_032563.1:443	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LCE3E	NM_178435.2	NM_178435.2:377	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LEP	NM_000230.2	NM_000230.2:1875	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LFNG	NM_001040168.1	NM_001040168.1:717	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	67.69	60.88	59.45	54.27	49.58	47.06	49.59	50.75	21.52	20	20	20	20	20	20	21.11	20	20	20	20	37.48	35.79	26.28	30.61	31.28	44.02	25.34	24.59	20	20	25.66	20.68
LGALS9	NM_002308.3	NM_002308.3:1206	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	59.11	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LIF	NM_002309.3	NM_002309.3:1240	Endogenous	mRNA	2	52.97	38.61	380.07	218.52	48.48	43.44	51.44	27.7	462.48	240.05	42.98	41.6	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	103.46	102.19	181.65	169.67	120.47	106.62	105.16	110.53	166.42	173.55	125.99	158.46	20	20	20	20	20	20	20.6	20	20	20	20	20	20	20	20	65.44	20	20	20	39.6	112.45	108.4	115.46	115.31	95.73	95.54	54.76	52.12	63.84	56.62	35.92	40.5
LMOD1	NM_012134.2	NM_012134.2:3335	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	31.54	28.11	36.04	35.84	32.4	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LOC100130238	NR_024563.1	NR_024563.1:1595	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LOX	NM_002317.4	NM_002317.4:1575	Endogenous	mRNA	2	1915.56	1259.88	2030.23	1950.96	1382.4	816.62	2293.47	1634.36	2942.88	2298.19	1848.06	1102.05	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	3227.42	2341.59	2909.67	3062.76	2781.84	2039.42	1810.02	1023.26	1609.64	1515.33	1803.32	1290.73	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
LRP1	NM_002332.2	NM_002332.2:4240	Endogenous	mRNA	2	36.37	31.25	20.05	26.49	31.86	41.07	37.82	32.48	26.07	34.42	34.79	46.54	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	264.96	282.61	229.23	244.39	280.77	437.99	203.19	130.04	196.33	148.76	197.26	245.61	20	20.83	20	20	20	20	20	20	25.44	39.21	23.56	30.8	20	64.25	21.87	22.17	20	20	25.41	20	20	24.54	20	20	20	20	20	20	20	20	20	20
LY6D	NM_003695.2	NM_003695.2:149	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
MAL	NM_002371.2	NM_002371.2:705	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
MAOB	NM_000898.4	NM_000898.4:890	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	147.97	156.47	139.86	185.73	110.89	111.46	81.73	63.93	71.82	76.18	48.75	53.42
MAP3K12	NM_006301.2	NM_006301.2:800	Endogenous	mRNA	2	46.64	49.02	43.93	56.29	70.64	55.28	57.49	53.49	43.45	39.86	69.58	66.98	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	51.73	75.7	28.11	28.13	62.73	73.17	58.82	57.71	37.71	40.66	53.45	66.99	20	24.83	20	22.96	20	20	25.18	22.15	45.98	65.35	32.4	26.83	44.49	67.22	45.82	52.78	31.65	46.65	31.76	64.73	20	20	20	20	20	20	20	20	20	20	20	20
MCAM	NM_006500.2	NM_006500.2:2482	Endogenous	mRNA	2	60.08	42.28	42.02	49.66	50.56	51.34	54.46	46.81	50.21	51.63	36.84	64.16	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	36.59	20	34.6	26.37	49.78	39.72	20.5	21.94	20	20.83	20	36.01	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22.09	20	20	20	20	20	20	20	20	20	20	20	20
METTL7A	NM_014033.3	NM_014033.3:280	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	440.15	396.14	306.2	301.08	347.34	341.58	364.19	313.74	305.54	315.12	316.43	261.54	803.61	815.92	647.19	669.36	687.58	652.86	790.02	777.63	619.85	664.45	690.68	806.77	20	30.28	20	20	20.91	27.18	24.06	20	20	20	26.73	20	20	20	20	20	20	20	20	20	1311.94	1408.58	1170.2	1253.9	1327.36	1161.52	1281.96	573.15	1229	1300.84	1233.6	630.57	95.69	87.95	89.18	83.68	107.1	105.84	359.62	358.97	396.74	330.45	386.15	386.9
MGC16121	NR_024607.1	NR_024607.1:567	Endogenous	mRNA	2	71.94	50.25	63.03	52.15	63.03	58.44	71.86	68.77	77.24	54.35	83.91	76.15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20.08	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
MGP	NM_000900.2	NM_000900.2:305	Endogenous	mRNA	2	624.55	428.34	706.66	619.14	563.07	286.69	783.65	586.5	842.89	735.56	719.03	399.78	88.03	103.75	230.88	183.56	138.69	69.26	314.2	239.82	487.21	490.62	339.59	268.58	1046.56	954.11	1332.33	1175.87	1287.69	878.52	1041.73	877.85	1126.28	1127.67	1053.85	917.18	78.23	51.73	89.74	58.9	126.45	90.94	89.12	60.96	80.61	82.31	123.45	61.94	20	20	20	20	20	20	20	20	18332.94	13452.4	17399.79	16377.26	19270	8718.85	20970.66	10684.03	19854.78	19376.15	19705.91	5515.98	1536.88	1505.38	1410.85	1600.09	1376.2	1006.93	1045.34	1028.71	1097.89	1065.47	948.06	859.97
MMP3	NM_002422.3	NM_002422.3:25	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
MMP9	NM_004994.2	NM_004994.2:1530	Endogenous	mRNA	2	20	20	21.01	23.18	20	20	20	20	25.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
MT1F	NM_005949.3	NM_005949.3:14	Endogenous	mRNA	2	143.88	203.44	163.3	167.2	159.29	195.07	135.4	170.98	203.72	155.81	165.09	188.96	57.56	70.07	83.96	71.63	58.91	70.83	59.98	72.28	52.85	67.81	84.9	75.93	156.78	171.72	158.11	138.87	119.05	136.52	169.47	173.79	140.29	146.44	150.55	176	20	20	20	20	20	20	20	20	20	20	20	20	43.8	60.08	38.29	39.66	43.95	30.4	38.15	31.37	22.5	35.19	20	22.85	24.83	21.75	30.2	27.44	20	20.24	20	24.37	115.41	145.22	145.5	141.84	139.33	127.39	157.74	155.39	220.03	177.06	183.45	142.18
MT1X	NM_005952.3	NM_005952.3:31	Endogenous	mRNA	2	220.57	231.02	362.88	281.43	191.85	205.34	249.62	235.94	405.51	302.56	239.45	231.27	401.21	319.34	442.01	409.64	344.89	280.19	381.33	269.39	358.39	392.9	461.14	282.64	485.9	427.77	586.06	523.5	558.81	414.36	474.34	449.07	625.82	525.98	541.45	443.83	297.76	293.96	381.68	276.91	266.83	349.14	318.16	186.12	283.44	255.86	344.88	252.1	65.04	56.87	70.53	49.05	64.23	57.85	49.59	35.07	31.31	39.21	58.9	34.78	45.52	52.39	47.9	42.22	53.63	40.49	45.74	50.26	111.47	93.06	91.05	74.49	101.41	95.54	129.95	137.69	159.61	128.68	155.23	129.25
MT2A	NM_005953.3	NM_005953.3:225	Endogenous	mRNA	2	1241.99	922.24	1782.9	1565.24	941.22	832.42	1242.8	1017.29	1859.57	1578.02	1160.41	834.82	155.75	86.24	308.67	284.29	202.51	135.37	97.12	98.56	214.7	251.29	181.37	133.58	1132.74	970.36	1068.82	1136.91	1263.4	874.5	1132.28	992.02	1111.36	973.27	1086.86	884.38	1551.89	1319.67	1802.46	1580.61	1656.76	1487.49	1758.34	779.43	1911.28	1625.41	1728.24	1447.75	127.42	112.15	116.89	103.31	107.06	86.28	100.71	75.67	195.67	232.25	238.55	201.7	223.47	192.76	259.31	579.48	206.59	235	256.63	273.4	260.42	263.85	234.67	264.3	272.02	254.78	228.03	212.43	247.4	235.74	192.43	222.32
MX2	NM_002463.1	NM_002463.1:2188	Endogenous	mRNA	2	35.58	33.09	32.47	22.35	30.47	43.44	34.04	32.48	30.9	25.36	38.89	40.89	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	386.32	20	20	20	57.88	20	20	20	20	20	20	20	20	20	20	20	20
MXD1	NM_002357.2	NM_002357.2:880	Endogenous	mRNA	2	22.93	25.74	21.01	20	24.24	27.64	31.01	32.48	28.97	27.18	33.43	25.38	54.17	71.41	62.97	82.82	57.69	59.82	77.12	67.35	57.8	45.87	81.04	78.74	82.02	98.56	79.05	70.93	65.6	76.29	83.07	100.22	71.64	79.69	55.47	84.17	93.37	85.79	42.17	70.33	65.71	109.76	62.38	134.92	55.91	84.29	69.99	105.88	49.11	41.65	69.53	62.61	29.3	61.77	55.7	79.36	25.44	42.23	29.45	30.8	30	45.47	28.12	111.89	26.37	21.12	43.2	73.87	354.13	364.07	236.55	259.2	322.25	328.77	223.13	205.55	155.05	145.15	197.56	173.2
MXRA5	NM_015419.3	NM_015419.3:5820	Endogenous	mRNA	2	20	20	20	20	21.47	20	20.42	20	20	20	25.24	20.45	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	54.25	40.91	40.36	55.11	56.87	53.39	29.42	64.91	43.32	45.3	60.3	59.46
MYBL2	NM_002466.2	NM_002466.2:445	Endogenous	mRNA	2	1509.99	1454.75	1600.5	1440.25	1634.5	1696.43	1515.11	1577.05	1543.85	1414.06	1642.72	1618.17	248.85	230.41	795.13	798.02	562.13	354.17	294.21	272.67	776.23	855.6	688.82	516.06	1798.26	1553.6	1934.2	1962.12	2162.35	1859.02	1969.65	1569.21	1736.18	1880.79	1941.29	1695.52	1025.76	857.91	991.52	1019.75	672.06	708.73	822.58	376.3	784.01	758.65	814.49	664.81	988.8	919.59	1006.63	827.54	993.93	881.46	827.82	716.08	1032.14	938.05	1056.32	1036.31	1119.41	959.86	1100.76	692.42	1026.8	1057.92	1123.08	662.56	2039.97	2222.28	2192.77	2174.62	2202.69	2250.84	1736.78	1536.18	1720.37	1507.09	1640.82	1498.48
MYLK	NM_053032.2	NM_053032.2:710	Endogenous	mRNA	2	38.74	39.22	28.65	25.66	31.17	40.28	27.99	39.16	32.83	29.89	30.02	26.79	135.43	113.18	146.93	124.24	137.46	201.49	58.56	44.35	62.76	75.79	71.39	57.65	20	20	20	20	20	20	20	20	20	20	20	20	476.92	388.58	445.48	441.31	493.84	515.34	449.16	247.89	403.06	341.15	390.7	401.19	20	20	20	20	20	20	20	20	30.33	28.15	20	21.86	25.86	27.68	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
NACAD	NM_001146334.1	NM_001146334.1:1580	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24.61	21.9	20	20.5	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
NAP1L3	NM_004538.4	NM_004538.4:1070	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
NEFM	NM_005382.2	NM_005382.2:2975	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
