Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	Class Active	BT549 ABCB1 24 minus doxy.RCC	BT549 ABCB1 24 plus doxy.RCC	BT549 ABCB1 4 minus doxy.RCC	BT549 ABCB1 4 plus doxy.RCC	BT549 ABCB1 72 minus doxy.RCC	BT549 ABCB1 72 plus doxy.RCC	BT549 GFP 24 minus doxy.RCC	BT549 GFP 24 plus doxy.RCC	BT549 GFP 4 minus doxy.RCC	BT549 GFP 4 plus doxy.RCC	BT549 GFP 72 minus doxy.RCC	BT549 GFP 72 plus doxy.RCC	CAMA-1 ABCB1 24 minus doxy.RCC	CAMA-1 ABCB1 24 plus doxy.RCC	CAMA-1 ABCB1 4 minus doxy.RCC	CAMA-1 ABCB1 4 plus doxy.RCC	CAMA-1 ABCB1 72 minus doxy.RCC	CAMA-1 ABCB1 72 plus doxy.RCC	CAMA-1 GFP 24 minus doxy.RCC	CAMA-1 GFP 24 plus doxy.RCC	CAMA-1 GFP 4 minus doxy.RCC	CAMA-1 GFP 4 plus doxy.RCC	CAMA-1 GFP 72 minus doxy.RCC	CAMA-1 GFP 72 plus doxy.RCC	HCC1428 ABCB1 24 minus doxy.RCC	HCC1428 ABCB1 24 plus doxy.RCC	HCC1428 ABCB1 4 minus doxy.RCC	HCC1428 ABCB1 4 plus doxy.RCC	HCC1428 ABCB1 72 minus doxy.RCC	HCC1428 ABCB1 72 plus doxy.RCC	HCC1428 GFP 24 minus doxy.RCC	HCC1428 GFP 24 plus doxy.RCC	HCC1428 GFP 4 minus doxy.RCC	HCC1428 GFP 4 plus doxy.RCC	HCC1428 GFP 72 minus doxy.RCC	HCC1428 GFP 72 plus doxy.RCC	Hs578T ABCB1 24 minus doxy.RCC	Hs578T ABCB1 24 plus doxy.RCC	Hs578T ABCB1 4 minus doxy.RCC	Hs578T ABCB1 4 plus doxy.RCC	Hs578T ABCB1 72 minus doxy.RCC	Hs578T Abcb1 72 plus doxy.RCC	Hs578T GFP 24 minus doxy.RCC	Hs578T GFP 24 plus doxy.RCC	Hs578T GFP 4 minus doxy.RCC	Hs578T GFP 4 plus doxy.RCC	Hs578T GFP 72 minus doxy.RCC	Hs578T GFP 72 plus doxy.RCC	MCF7 ABCB1 24 minus doxy.RCC	MCF7 ABCB1 24 plus doxy.RCC	MCF7 ABCB1 72 minus doxy.RCC	MCF7 ABCB1 72 plus doxy.RCC	MCF7 GFP 24 minus doxy.RCC	MCF7 GFP 24 plus doxy.RCC	MCF7 GFP 72 minus doxy.RCC	MCF7 GFP 72 plus doxy.RCC	T47D ABCB1 24 minus doxy.RCC	T47D ABCB1 24 plus doxy.RCC	T47D ABCB1 4 minus doxy.RCC	T47D ABCB1 4 plus doxy.RCC	T47D ABCB1 72 minus doxy.RCC	T47D ABCB1 72 plus doxy.RCC	T47D GFP 24 minus doxy.RCC	T47D GFP 24 plus doxy.RCC	T47D GFP 4 minus doxy.RCC	T47D GFP 4 plus doxy.RCC	T47D GFP 72 minus doxy.RCC	T47D GFP 72 plus doxy.RCC	ZR-75-1 ABCB1 24 minus doxy.RCC	ZR-75-1 ABCB1 24 plus doxy.RCC	ZR-75-1 ABCB1 4 minus doxy.RCC	ZR-75-1 ABCB1 4 plus doxy.RCC	ZR-75-1 ABCB1 72 minus doxy.RCC	ZR-75-1 ABCB1 72 plus doxy.RCC	ZR-75-1 GFP 24 minus doxy.RCC	ZR-75-1 GFP 24 plus doxy.RCC	ZR-75-1 GFP 4 minus doxy.RCC	ZR-75-1 GFP 4 plus doxy.RCC	ZR-75-1 GFP 72 minus doxy.RCC	ZR-75-1 GFP 72 plus doxy.RCC
IER5	NM_016545.4	NM_016545.4:260	Endogenous	mRNA	2	48.22	42.28	76.4	58.77	54.71	49.76	57.49	56.36	64.69	63.41	53.89	58.52	52.48	41.77	83.96	80.59	49.09	50.37	49.99	20	57.8	61.83	48.24	35.15	55.03	56.9	62.19	62.94	72.89	53	62.3	50.74	63.68	67.74	75.27	62.31	104.72	108.5	101.64	126.59	90.6	134.85	77.53	124.35	87.11	123.96	86.54	106.6	108.83	87.31	115.88	131.49	136.35	152.96	152.59	142.11	185.88	149.81	169.84	123.2	157.26	145.31	172.87	198.44	145.05	141.7	152.45	190.39	243.65	285.33	248.75	235.73	238.85	224.8	183.08	144.57	199.51	179.12	159.08	168.03
IFI35	NM_005533.3	NM_005533.3:415	Endogenous	mRNA	2	65.62	68.63	70.67	52.97	59.56	75.82	72.62	65.91	77.24	63.41	76.41	71.92	50.79	45.81	25.93	31.34	25.77	47.22	31.42	41.07	20	20	20	37.97	32.19	29.47	28.46	42.96	20	38.55	39.04	48.21	34.82	34.87	20	50.29	63.08	82.01	58.39	53.62	67.7	78.4	89.12	56.08	68.91	83.3	90.36	75.63	46.45	65.69	47.36	60.53	40.57	57.85	82.4	85.82	90.01	103.56	74.61	57.63	60.01	87.98	76.02	1473.51	74.72	80.09	66.06	757.75	20	20	20	20	20	20	20	20	20	20	20	20
IFI6	NM_002038.3	NM_002038.3:432	Endogenous	mRNA	2	180.25	219.99	184.31	164.72	245.18	375.93	225.41	218.74	192.14	221.94	245.59	392.03	20	20	20	20	20	20	20	20	20	20	20	20	25.96	23.37	27.41	40.96	20	30.52	38.21	44.4	20	25.9	20	22.96	128.69	155.18	87.58	110.77	120.47	252.97	136.35	91.03	102.72	122.97	127.26	154.86	339.78	389.3	252.92	478.99	304.26	279.44	419.63	391.26	150.66	215.16	114.86	122.21	131.39	308.42	177.04	3908.61	174.06	169.87	177.86	5245.63	20	20	20	20.41	20	20	20	22.62	20	25.74	20	23.27
IFIH1	NM_022168.2	NM_022168.2:185	Endogenous	mRNA	2	20	20	20	20	20	20	20.42	26.75	25.1	32.61	21.83	20	20	43.12	34.57	45.89	27	36.2	44.27	41.07	20	20	55.95	29.53	40.49	35.56	44.27	44.96	20	32.12	42.37	50.74	29.85	43.83	35.66	43.73	20	20	20	20	20	20	20	20	20	20	20	20	43.8	41.65	35.27	35.48	24.79	47.06	53.41	71.98	22.5	28.15	23.56	20	25.86	37.56	26.03	909.86	25.49	26.4	31.76	423.43	53.27	67.5	58.2	66.33	65.4	46.83	42.5	38.36	57	50.44	42.34	51.7
IFIT1	NM_001548.4	NM_001548.4:1444	Endogenous	mRNA	2	118.59	149.52	88.81	92.71	128.82	206.92	142.21	204.41	118.76	164.87	163.04	241.14	20	20	20	20	20	20	20	20	20	20	20	20	61.26	47.76	60.08	60.94	20	43.36	71.44	77.38	42.78	52.8	54.14	45.91	32.8	46.68	27.03	26.37	23.9	32.4	50.8	35.76	26	29.75	50.91	49.7	269.43	314.01	205.56	279.67	187.07	293.16	486.01	545.37	134.03	133.72	69.7	119.23	74.49	287.66	159.33	14055.38	100.22	164.59	139.75	7721.46	20	20	20	20	20	20	20	20	20	20	20	20
IFITM1	NM_003641.3	NM_003641.3:482	Endogenous	mRNA	2	615.86	690.61	539.55	497.47	612.25	948.52	626.32	705.9	581.24	591.53	584.64	961.74	20	20	33.34	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	61.82	100.93	51.9	52.75	60.73	112.89	98.03	122.73	66.31	92.23	85.27	128.21	643.72	701.71	457.47	505.08	503.72	509.85	702.69	539.83	301.33	346.87	214.99	234.49	228.64	447.8	294.72	11021.8	239.12	279	308.72	7179.99	20	20	20	20	20	20	20	20	20	20	20	20
IGF1R	NM_000875.4	NM_000875.4:4580	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	46.72	53.85	35.84	32.97	20	40.95	32.4	43.13	27.86	22.91	46.22	44.82	20	20	24.87	20	20	23	20	20	20	25.78	20	20	38.49	66.49	59.45	48	69.87	45.1	59.51	47.06	61.63	71.38	46.14	38.75	67.25	67.22	48.95	58.05	51.87	36.09	50.82	66.26	37.48	32.73	23.47	34.7	32.23	40.28	35.96	23.6	25.08	20	20	32.74
IGFBP3	NM_000598.4	NM_000598.4:785	Endogenous	mRNA	2	1321.84	634.23	1588.09	1219.25	976.55	515.72	1381.98	793.78	1838.33	1372.39	999.41	586.63	20	20	20	20	20	20	32.85	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	3227.42	1593.44	3034.02	2661.02	3137.29	1607.7	1874.19	439.7	1799.46	1464.75	1729.51	605.75	20	20	21.16	20	20	20	24.41	29.53	20	20	20	20	20	20	20	20	20	20	20	20	20.72	23.52	25.34	22.45	20	20.61	20	20	20	20	20	20
IGFBP5	NM_000599.3	NM_000599.3:3320	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	11327.07	8801.38	6527.73	6613.58	12412.23	10555.96	11282.79	8773.21	7318.06	7175.86	12404.6	9521.06	1358.04	1074.01	1311.25	1424.63	1518.51	1216.59	1306.73	886.73	1042.7	1218.33	1262.5	896.41	25.23	20	23.79	20	22.9	24.04	38.32	25.2	20	20.83	20	32.41	43.8	22.43	41.31	20	50.71	25.49	20	20	807.12	467.52	685.23	572.3	795.59	447.8	758.14	316.66	688.35	586.17	876.61	274.92	2112.96	1909.34	1732.82	1901.13	2255.76	1915.51	1297.07	1432.91	1447.89	1527.68	1915.35	1571.73
IGFBP6	NM_002178.2	NM_002178.2:588	Endogenous	mRNA	2	20	20	20	21.52	20	20	20	20	20.28	20.83	20.47	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	604.35	632.08	576.31	575.81	772.62	847.76	755.74	451.08	693	670.39	710.13	756.29	20	34.44	23.18	34.44	29.3	28.43	22.89	20	20	23.12	20	20	20	22.74	20	89.72	20	20	20	70.83	20	20	20	20	20	20	20	20	20	20	20	20
IGSF3	NM_001542.2	NM_001542.2:6865	Endogenous	mRNA	2	36.37	38.61	36.29	33.94	26.32	40.28	29.5	44.89	32.83	30.8	29.33	50.77	815.97	875.83	730.93	712.96	932.79	1034.19	856.92	946.15	767.98	755.88	947.37	1157.26	397.65	416.6	355.22	387.63	447.05	452.91	427.82	431.31	302.46	323.76	398.82	394.64	266.22	243.49	219.5	253.18	265.84	331.37	191.61	101.59	137.82	120.99	180.71	194.47	708.75	567.14	627.76	586.48	634.44	414.74	561.54	477.08	395.25	411.21	336.73	318.94	367.27	559.51	341.58	268.1	303.29	330.05	353.18	281.02	715.17	736.33	630.8	698	820.79	823.34	765.82	792.68	818.57	799.87	908.29	846.18
IL18	NM_001562.2	NM_001562.2:48	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22.84	21.34	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	56.74	89.48	59.88	40.74	64.14	76.12	63.53	76	68.57	77.45	49.55	99	21.7	27.61	20	24.49	20	20.61	20	20	20	20	20	20
IL1A	NM_000575.3	NM_000575.3:1085	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
IL1B	NM_000576.2	NM_000576.2:840	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24.87	27.25	21.9	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
IL1RL1	NM_016232.4	NM_016232.4:700	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
IL6	NM_000600.3	NM_000600.3:364	Endogenous	mRNA	2	30.04	33.7	110.77	72.84	45.71	47.39	41.6	36.3	143.86	66.13	32.75	35.25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	416.36	137.52	697.41	431.64	378.35	203.84	228.15	424.26	447.27	422.47	207.44	211.76	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	31.22	20	20	20	20	20	20	20	20	20	20	20	20
IL7R	NM_002185.2	NM_002185.2:1610	Endogenous	mRNA	2	132.03	114.59	196.72	143.2	121.2	108.99	118.76	81.19	184.41	150.37	130.3	114.22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	59.3	51.73	111.37	123.95	74.67	71.08	89.12	60.14	154.72	146.77	120.9	38.17	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
